ZrB2,SiC,Sinter temp,Sintering Time (min),Relative Density,Temp,Time@Temp (min),Oxide Thickness (um),Thermal Conductivity
70.0,30.0,2000,120,99.4,1600.0,300.0,160.0,52.08446297738147
70.0,30.0,2000,120,99.4,1600.0,300.0,160.0,52.08446297738147
70.0,30.0,2250,180,97.9,1200.0,720.0,70.0,61.603870833622324
70.0,30.0,2250,180,97.9,1200.0,720.0,70.0,61.603870833622324
70.0,30.0,1900,120,76.2,1300.0,33.33333333,35.0,57.46577098652759
70.0,30.0,1900,120,76.2,1300.0,33.33333333,35.0,57.46577098652759
70.0,30.0,1900,120,76.2,1526.85,33.33333,35.0,60.7111966398953
70.0,30.0,1900,120,76.2,1300.0,16.66666667,30.0,57.46577098652759
70.0,30.0,1900,120,76.2,1300.0,16.66666667,30.0,57.46577098652759
70.0,30.0,1900,120,76.2,1526.85,16.66667,30.0,60.7111966398953
70.0,30.0,1900,120,76.3,1250.0,5.0,23.9,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,13.0,27.7,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,19.0,31.3,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,25.0,34.2,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,29.0,35.9,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,36.0,38.3,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,48.0,40.2,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,50.0,40.2,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,56.0,41.0,57.817253697003764
70.0,30.0,1900,120,76.3,1250.0,60.0,42.2,57.817253697003764
77.6,22.4,1650,120,97.9,1500.0,10.0,45.0,62.81491818904595
77.6,22.4,1650,120,97.9,1500.0,10.0,45.0,62.81491818904595
75.0,15.0,1940,45,98.2,1450.0,1200.0,125.0,61.648626670149085
75.0,15.0,1940,45,98.2,1450.0,1200.0,125.0,61.648626670149085
85.0,15.0,1930,26,96.5,1500.0,15.0,225.0,67.04877683366946
85.0,15.0,1820,15,99.0,1450.0,1200.0,50.0,63.415521925486146
85.0,15.0,1820,15,99.0,1450.0,1200.0,50.0,63.415521925486146
75.0,15.0,1920,45,98.2,1450.0,1200.0,100.0,61.764348567395146
75.0,15.0,1920,45,98.2,1450.0,1200.0,100.0,61.764348567395146
75.0,25.0,1700,600,92.0,1500.0,3000.0,65.0,63.43570736364979
75.0,25.0,1800,5,99.0,1600.0,15.0,36.0,54.93096497866499
75.0,25.0,1800,5,99.0,1600.0,15.0,36.0,54.93096497866499
95.0,5.0,1950,60,97.4,1500.0,60.0,50.0,65.19943254747517
95.0,5.0,1950,60,97.4,1200.0,60.0,50.0,72.46450844465897
95.0,5.0,1950,60,97.4,1200.0,60.0,50.0,72.46450844465897
95.0,5.0,2250,180,97.2,1200.0,720.0,90.0,89.97292535961776
95.0,5.0,2250,180,97.2,1200.0,720.0,90.0,89.97292535961776
100.0,0.0,2250,180,96.5,1200.0,720.0,175.0,82.38585477767526
100.0,0.0,2000,6,95.8,1400.0,60.0,291.0,61.52117484562106
100.0,0.0,2000,6,95.8,1400.0,60.0,291.0,61.52117484562106
100.0,0.0,1700,180,67.6,1300.0,58.33333333,98.0,71.22064584729003
100.0,0.0,1700,180,67.6,1300.0,58.33333333,98.0,71.22064584729003
100.0,0.0,1700,180,67.6,1300.0,33.33333333,69.0,71.22064584729003
100.0,0.0,1700,180,67.6,1300.0,33.33333333,69.0,71.22064584729003
100.0,0.0,1700,180,67.6,1300.0,16.66666667,57.0,71.22064584729003
100.0,0.0,1700,180,67.6,1300.0,16.66666667,57.0,71.22064584729003
