ZrB2,SiC,Sinter temp,Sintering Time (min),Relative Density,Temp,Time@Temp (min),Oxide Thickness (um),Thermal Conductivity,Link
70,30,2000,60,97.5,1500,300,82,60.56635915,https://link.springer.com/article/10.1007/s10853-018-2601-0
70,30,2000,60,97.5,1500,300,82,60.56635915,https://link.springer.com/article/10.1007/s10853-018-2601-0
70,30,1950,45,98,1500,240,80,58.50706435,https://link.springer.com/article/10.1007/s11085-016-9640-1
70,30,1950,45,98,1500,240,80,58.50706435,https://link.springer.com/article/10.1007/s11085-016-9640-1
70,30,1950,45,98,1500,120,37,58.50706435,https://link.springer.com/article/10.1007/s11085-016-9640-1
70,30,1950,45,98,1500,120,37,58.50706435,https://link.springer.com/article/10.1007/s11085-016-9640-1
70,30,1900,120,76.2,1300,58.33333333,37,57.46577099,https://www.researchgate.net/publication/306295226_Oxidation_Behavior_of_ZrB2-SiC_Composites_at_1650_C
70,30,1900,120,76.2,1300,58.33333333,37,57.46577099,https://www.researchgate.net/publication/306295226_Oxidation_Behavior_of_ZrB2-SiC_Composites_at_1650_C
70,30,1900,120,76.2,1526.85,58.33333,37,60.71119664,https://www.researchgate.net/publication/306295226_Oxidation_Behavior_of_ZrB2-SiC_Composites_at_1650_C
70,30,2000,60,97.5,1500,300,21,60.56635915,https://www.researchgate.net/publication/306295226_Oxidation_Behavior_of_ZrB2-SiC_Composites_at_1650_C
70,30,1800,5,95,1400,180,110,57.504781,https://www.sciencedirect.com/science/article/pii/S0955221924010264
70,30,1800,5,95,1400,180,110,57.504781,https://www.sciencedirect.com/science/article/pii/S0955221924010264
70,30,1800,5,95,1550,180,110,57.55935276,https://www.sciencedirect.com/science/article/pii/S0955221924010264
70,30,2000,120,99.4,1600,300,160,52.08446298,https://www.sciencedirect.com/science/article/pii/S0955221924010264
70,30,2000,120,99.4,1600,300,160,52.08446298,https://www.sciencedirect.com/science/article/pii/S0955221924010264
70,30,2250,180,97.9,1200,720,70,61.60387083,https://link.springer.com/article/10.1007/s11085-015-9585-9
70,30,2250,180,97.9,1200,720,70,61.60387083,https://link.springer.com/article/10.1007/s11085-015-9585-9
70,30,1900,120,76.2,1300,33.33333333,35,57.46577099,https://arc.aiaa.org/doi/pdf/10.2514/1.39970
70,30,1900,120,76.2,1300,33.33333333,35,57.46577099,https://arc.aiaa.org/doi/pdf/10.2514/1.39970
70,30,1900,120,76.2,1526.85,33.33333,35,60.71119664,https://www.sciencedirect.com/science/article/pii/S0955221924010264
70,30,1900,120,76.2,1300,16.66666667,30,57.46577099,https://arc.aiaa.org/doi/pdf/10.2514/1.39970
70,30,1900,120,76.2,1300,16.66666667,30,57.46577099,https://arc.aiaa.org/doi/pdf/10.2514/1.39970
70,30,1900,120,76.2,1526.85,16.66667,30,60.71119664,https://www.researchgate.net/publication/306295226_Oxidation_Behavior_of_ZrB2-SiC_Composites_at_1650_C
70,30,1900,120,76.3,1250,5,23.9,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,13,27.7,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,19,31.3,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,25,34.2,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,29,35.9,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,36,38.3,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,48,40.2,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,50,40.2,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001378
70,30,1900,120,76.3,1250,56,41,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001379 
70,30,1900,120,76.3,1250,60,42.2,57.8172537,https://www.sciencedirect.com/science/article/pii/S0955221910001380 
77.6,22.4,1650,120,97.9,1500,10,45,62.81491819,https://www.sciencedirect.com/science/article/pii/S0955221912003858
77.6,22.4,1650,120,97.9,1500,10,45,62.81491819,https://www.sciencedirect.com/science/article/pii/S0955221912003858
75,15,1940,45,98.2,1450,1200,125,61.64862667,https://link.springer.com/article/10.1007/s11182-025-03498-w
75,15,1940,45,98.2,1450,1200,125,61.64862667,https://link.springer.com/article/10.1007/s11182-025-03498-w
85,15,1930,26,96.5,1500,15,225,67.04877683,https://link.springer.com/article/10.1007/s11003-022-00593-y
85,15,1820,15,99,1450,1200,50,63.41552193,https://link.springer.com/article/10.1007/s11182-025-03498-w
85,15,1820,15,99,1450,1200,50,63.41552193,https://link.springer.com/article/10.1007/s11182-025-03498-w
75,15,1920,45,98.2,1450,1200,100,61.76434857,https://link.springer.com/article/10.1007/s11182-025-03498-w
75,15,1920,45,98.2,1450,1200,100,61.76434857,https://link.springer.com/article/10.1007/s11182-025-03498-w
75,25,1700,600,92,1500,3000,65,63.43570736,https://www.sciencedirect.com/science/article/pii/S0955221912003858
75,25,1800,5,99,1600,15,36,54.93096498,https://link.springer.com/article/10.1007/s11182-025-03498-w
75,25,1800,5,99,1600,15,36,54.93096498,https://link.springer.com/article/10.1007/s11182-025-03498-w
95,5,1950,60,97.4,1500,60,50,65.19943255,https://link.springer.com/article/10.1007/s11182-025-03498-w
95,5,1950,60,97.4,1200,60,50,72.46450844,https://link.springer.com/article/10.1007/s11085-015-9585-9
95,5,1950,60,97.4,1200,60,50,72.46450844,https://link.springer.com/article/10.1007/s11085-015-9585-9
95,5,2250,180,97.2,1200,720,90,89.97292536,https://link.springer.com/article/10.1007/s11085-015-9585-9
95,5,2250,180,97.2,1200,720,90,89.97292536,https://link.springer.com/article/10.1007/s11085-015-9585-9
100,0,2250,180,96.5,1200,720,175,82.38585478,https://link.springer.com/article/10.1007/s11085-015-9585-9
100,0,2000,6,95.8,1400,60,291,61.52117485,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,2000,6,95.8,1400,60,291,61.52117485,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1700,180,67.6,1300,58.33333333,98,71.22064585,https://link.springer.com/article/10.1007/s10853-018-2601-0
100,0,1700,180,67.6,1300,58.33333333,98,71.22064585,https://link.springer.com/article/10.1007/s10853-018-2601-0
100,0,1700,180,67.6,1300,33.33333333,69,71.22064585,https://link.springer.com/article/10.1007/s10853-018-2601-0
100,0,1700,180,67.6,1300,33.33333333,69,71.22064585,https://link.springer.com/article/10.1007/s10853-018-2601-0
100,0,1700,180,67.6,1300,16.66666667,57,71.22064585,https://link.springer.com/article/10.1007/s10853-018-2601-0
100,0,1700,180,67.6,1300,16.66666667,57,71.22064585,https://link.springer.com/article/10.1007/s10853-018-2601-0
100,0,1900,120,67.7,1250,5,41.9,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,6,42.6,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,7,47,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,15,56.8,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,22,64.3,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,31,71.3,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,44,88.9,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,50,95.18,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,55,99.7,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
100,0,1900,120,67.7,1250,60,105.5,71.77855596,https://www.sciencedirect.com/science/article/pii/S0955221910001378
